"b'OBJECTID_12_13'","b'OBJECTID'","b'DEPCODE'","b'COUNTY'","b'COUNTYNAME'","b'DATESTAMP'","b'ShapeSTAre'","b'ShapeSTLen'","b'OBJECTID_1'","b'County_1'","b'State'","b'OBJECTID_12'","b'DEPCODE_1'","b'COUNTYN'","b'PUIsTotal'","b'Age_0_9'","b'Age_10_19'","b'Age_20_29'","b'Age_30_39'","b'Age_40_49'","b'Age_50_59'","b'Age_60_69'","b'Age_70_79'","b'Age_80plus'","b'Age_Unkn'","b'C_Age_0_9'","b'C_Age_10_19'","b'C_Age_20_29'","b'C_Age_30_39'","b'C_Age_40_49'","b'C_Age_50_59'","b'C_Age_60_69'","b'C_Age_70_79'","b'C_Age_80plus'","b'C_Age_Unkn'","b'PUIAgeRange'","b'PUIAgeAvrg'","b'C_AgeRange'","b'C_AgeAvrg'","b'C_AllResTypes'","b'C_NonResDeaths'","b'PUIFemale'","b'PUIMale'","b'PUISexUnkn'","b'PUIFLRes'","b'PUINotFLRes'","b'PUIFLResOut'","b'PUITravelNo'","b'PUITravelUnkn'","b'PUITravelYes'","b'C_ED_NO'","b'C_ED_NoData'","b'C_ED_Yes'","b'C_Hosp_No'","b'C_Hosp_Nodata'","b'C_Hosp_Yes'","b'FLResDeaths'","b'PUILab_Yes'","b'TPositive'","b'TNegative'","b'TInconc'","b'TPending'","b'PUIContNo'","b'PUIContUnkn'","b'PUIContYes'","b'CasesAll'","b'C_Men'","b'C_Women'","b'C_TravelYes'","b'C_TravelNo'","b'C_TravelUnkn'","b'C_FLRes'","b'C_NotFLRes'","b'C_FLResOut'","b'T_NegRes'","b'T_NegNotFLRes'","b'T_PendRes'","b'T_PendNotRes'","b'T_total'","b'T_negative'","b'T_pending'","b'T_positive'","b'FLandNonFLDeaths'","b'EverMon'","b'MonNow'","b'Shape__Area'","b'Shape__Length'","b'Shape_Length'","b'Shape_Area'"
"11.0","11.0","33.0","b'065'","b'JEFFERSON'","b'2000-05-16T00:00:00.000Z'","17033402669.784927","749466.1422829186","33.0","b'Jefferson'","b'FL'","b'11'","33.0","b'65'","6.0","2.0","0.0","1.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'1 to 59'","b'33'","b'NA'","b'NA'","0.0","0.0","2.0","4.0","0.0","6.0","0.0","0.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","6.0","6.0","0.0","0.0","0.0","6.0","0.0","1581350101.5301971","228391.5653901752","228391.56562680166","1581350101.4182172"
"12.0","12.0","40.0","b'079'","b'MADISON'","b'2000-05-16T00:00:00.000Z'","19954266828.309143","719422.1614446337","40.0","b'Madison'","b'FL'","b'12'","40.0","b'79'","6.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'45 to 73'","b'60'","b'NA'","b'NA'","0.0","0.0","4.0","2.0","0.0","6.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","1853116752.0877075","219176.1975153799","219176.1985933485","1853116752.5864246"
"13.0","13.0","39.0","b'077'","b'LIBERTY'","b'2000-05-16T00:00:00.000Z'","23545304208.68918","1014156.8165257593","39.0","b'Liberty'","b'FL'","b'13'","39.0","b'77'","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'76 to 76'","b'76'","b'NA'","b'NA'","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","2183538740.4183807","308797.5011847525","308797.50166662445","2183538741.051643"
"14.0","14.0","24.0","b'047'","b'HAMILTON'","b'2000-05-16T00:00:00.000Z'","14477960107.777893","763034.4165824439","24.0","b'Hamilton'","b'FL'","b'14'","24.0","b'47'","8.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'23 to 93'","b'61'","b'NA'","b'NA'","0.0","0.0","3.0","5.0","0.0","8.0","0.0","0.0","2.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","8.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","8.0","8.0","0.0","0.0","0.0","2.0","1.0","1344926537.822052","232510.6199371921","232510.62054467772","1344926537.758584"
"15.0","15.0","3.0","b'005'","b'BAY'","b'2000-05-16T00:00:00.000Z'","20842319162.95166","1834701.3027760552","3.0","b'Bay'","b'FL'","b'15'","3.0","b'5'","40.0","3.0","2.0","5.0","5.0","8.0","5.0","6.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","b'4 to 90'","b'46'","b'47 to 47'","b'47'","0.0","0.0","21.0","19.0","0.0","38.0","2.0","0.0","6.0","18.0","16.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","38.0","1.0","37.0","0.0","2.0","5.0","10.0","8.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","36.0","1.0","2.0","0.0","40.0","37.0","2.0","1.0","0.0","2.0","0.0","1930770661.4993896","558412.9908256652","558412.9917622624","1930770661.1632879"
"16.0","16.0","12.0","b'023'","b'COLUMBIA'","b'2000-05-16T00:00:00.000Z'","22266487302.202637","905417.4708312416","12.0","b'Columbia'","b'FL'","b'16'","12.0","b'23'","56.0","3.0","2.0","8.0","5.0","7.0","9.0","7.0","10.0","5.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","b'1 to 118'","b'51'","b'46 to 70'","b'54'","3.0","0.0","25.0","31.0","0.0","54.0","2.0","0.0","15.0","38.0","3.0","0.0","3.0","0.0","0.0","3.0","0.0","0.0","33.0","3.0","30.0","0.0","23.0","10.0","1.0","2.0","3.0","1.0","2.0","0.0","2.0","1.0","3.0","0.0","0.0","30.0","0.0","21.0","2.0","56.0","30.0","23.0","3.0","0.0","1.0","1.0","2068684690.4368591","276060.4308572143","276060.43123725336","2068684690.017997"
"17.0","17.0","2.0","b'003'","b'BAKER'","b'2000-05-16T00:00:00.000Z'","16362161453.261108","602717.294368568","2.0","b'Baker'","b'FL'","b'17'","2.0","b'3'","21.0","0.0","1.0","1.0","2.0","3.0","4.0","3.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","b'17 to 87'","b'58'","b'64 to 87'","b'73'","4.0","0.0","13.0","7.0","1.0","20.0","1.0","0.0","19.0","1.0","1.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","20.0","4.0","16.0","0.0","1.0","6.0","3.0","7.0","4.0","2.0","2.0","0.0","4.0","0.0","4.0","0.0","0.0","15.0","1.0","1.0","0.0","21.0","16.0","1.0","4.0","0.0","3.0","3.0","1520245937.664856","183737.3547043684","183737.3549371345","1520245937.8817396"
"18.0","18.0","30.0","b'059'","b'HOLMES'","b'2000-05-16T00:00:00.000Z'","13514831669.232422","577279.375441074","30.0","b'Holmes'","b'FL'","b'18'","30.0","b'59'","6.0","0.0","0.0","1.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'28 to 49'","b'42'","b'NA'","b'NA'","0.0","0.0","4.0","2.0","0.0","6.0","0.0","0.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","6.0","6.0","0.0","0.0","0.0","1.0","1.0","1251550190.8394928","175658.620344926","175658.62072688213","1251550191.6506789"
"19.0","19.0","43.0","b'085'","b'MARTIN'","b'2000-05-16T00:00:00.000Z'","18163212069.395813","1014294.8127001233","43.0","b'Martin'","b'FL'","b'19'","43.0","b'85'","82.0","0.0","5.0","8.0","5.0","10.0","8.0","10.0","15.0","21.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","b'11 to 99'","b'60'","b'45 to 75'","b'62'","4.0","0.0","58.0","24.0","0.0","82.0","0.0","0.0","11.0","70.0","1.0","2.0","0.0","2.0","4.0","0.0","0.0","0.0","81.0","4.0","77.0","0.0","1.0","15.0","2.0","0.0","4.0","2.0","2.0","1.0","3.0","0.0","4.0","0.0","0.0","77.0","0.0","1.0","0.0","82.0","77.0","1.0","4.0","0.0","6.0","0.0","1686613017.086609","308980.48751505953","308980.48787272803","1686613016.4869611"
"20.0","20.0","29.0","b'057'","b'HILLSBOROUGH'","b'2000-05-16T00:00:00.000Z'","29564028944.019623","1177196.9599529912","29.0","b'Hillsborough'","b'FL'","b'20'","29.0","b'57'","1392.0","89.0","50.0","239.0","272.0","219.0","201.0","151.0","118.0","53.0","0.0","3.0","8.0","17.0","25.0","12.0","11.0","11.0","4.0","0.0","0.0","b'0 to 100'","b'43'","b'3 to 79'","b'39'","85.0","0.0","783.0","595.0","14.0","1364.0","28.0","0.0","75.0","1261.0","56.0","22.0","50.0","19.0","52.0","32.0","7.0","0.0","1387.0","91.0","1296.0","0.0","5.0","83.0","29.0","60.0","91.0","43.0","44.0","24.0","32.0","35.0","85.0","6.0","0.0","1275.0","21.0","4.0","1.0","1392.0","1296.0","5.0","91.0","0.0","314.0","248.0","2746844886.1601257","358788.30703434435","358788.30680513056","2746844885.217042"
